序號,詞彙,詞頻,累積詞頻,前100名高頻詞累積百分比,"總詞數累積
百分比"
30001,計有,2 ,"1,100,034 ",,96.74%
30002,背經,2 ,"1,100,036 ",,96.74%
30003,萌樣,2 ,"1,100,038 ",,96.74%
30004,國哲,2 ,"1,100,040 ",,96.74%
30005,防寒,2 ,"1,100,042 ",,96.74%
30006,悶痛,2 ,"1,100,044 ",,96.74%
30007,眼科,2 ,"1,100,046 ",,96.74%
30008,葉威毅,2 ,"1,100,048 ",,96.74%
30009,急劇,2 ,"1,100,050 ",,96.74%
30010,微血管,2 ,"1,100,052 ",,96.74%
30011,收案,2 ,"1,100,054 ",,96.74%
30012,劉定萍,2 ,"1,100,056 ",,96.74%
30013,撐竿跳,2 ,"1,100,058 ",,96.74%
30014,外科部,2 ,"1,100,060 ",,96.74%
30015,賴鴻緒,2 ,"1,100,062 ",,96.74%
30016,閎康,2 ,"1,100,064 ",,96.74%
30017,跨足,2 ,"1,100,066 ",,96.74%
30018,高峰期,2 ,"1,100,068 ",,96.74%
30019,魔菇,2 ,"1,100,070 ",,96.74%
30020,安非他命,2 ,"1,100,072 ",,96.74%
30021,水患,2 ,"1,100,074 ",,96.74%
30022,趙昭明,2 ,"1,100,076 ",,96.74%
30023,鞋襪,2 ,"1,100,078 ",,96.74%
30024,陳牧宏,2 ,"1,100,080 ",,96.74%
30025,揚威,2 ,"1,100,082 ",,96.74%
30026,居冠,2 ,"1,100,084 ",,96.74%
30027,生醫,2 ,"1,100,086 ",,96.74%
30028,六十一,2 ,"1,100,088 ",,96.74%
30029,電熱,2 ,"1,100,090 ",,96.74%
30030,院方,2 ,"1,100,092 ",,96.74%
30031,金凱瑞,2 ,"1,100,094 ",,96.74%
30032,張傳育,2 ,"1,100,096 ",,96.74%
30033,范妮娜,2 ,"1,100,098 ",,96.74%
30034,轉至,2 ,"1,100,100 ",,96.74%
30035,汗顏,2 ,"1,100,102 ",,96.74%
30036,高胤展,2 ,"1,100,104 ",,96.74%
30037,滅菌機,2 ,"1,100,106 ",,96.74%
30038,路燈型,2 ,"1,100,108 ",,96.74%
30039,防霾滅菌,2 ,"1,100,110 ",,96.74%
30040,清淨機,2 ,"1,100,112 ",,96.74%
30041,腦死,2 ,"1,100,114 ",,96.74%
30042,垂到,2 ,"1,100,116 ",,96.74%
30043,高倍數,2 ,"1,100,118 ",,96.75%
30044,羽化成,2 ,"1,100,120 ",,96.75%
30045,同樂會,2 ,"1,100,122 ",,96.75%
30046,缺損,2 ,"1,100,124 ",,96.75%
30047,苦練,2 ,"1,100,126 ",,96.75%
30048,一千六百,2 ,"1,100,128 ",,96.75%
30049,有礙,2 ,"1,100,130 ",,96.75%
30050,輕生,2 ,"1,100,132 ",,96.75%
30051,崑山,2 ,"1,100,134 ",,96.75%
30052,英文科,2 ,"1,100,136 ",,96.75%
30053,入闈,2 ,"1,100,138 ",,96.75%
30054,融解,2 ,"1,100,140 ",,96.75%
30055,題幹,2 ,"1,100,142 ",,96.75%
30056,棉籽,2 ,"1,100,144 ",,96.75%
30057,棉酚,2 ,"1,100,146 ",,96.75%
30058,派上用場,2 ,"1,100,148 ",,96.75%
30059,琅琅,2 ,"1,100,150 ",,96.75%
30060,上口,2 ,"1,100,152 ",,96.75%
30061,文學界,2 ,"1,100,154 ",,96.75%
30062,小新,2 ,"1,100,156 ",,96.75%
30063,教師會,2 ,"1,100,158 ",,96.75%
30064,安藤忠雄,2 ,"1,100,160 ",,96.75%
30065,切割成,2 ,"1,100,162 ",,96.75%
30066,咖啡座,2 ,"1,100,164 ",,96.75%
30067,帷幕,2 ,"1,100,166 ",,96.75%
30068,術科,2 ,"1,100,168 ",,96.75%
30069,金像獎,2 ,"1,100,170 ",,96.75%
30070,黑奴,2 ,"1,100,172 ",,96.75%
30071,窠臼,2 ,"1,100,174 ",,96.75%
30072,獎座,2 ,"1,100,176 ",,96.75%
30073,學習單,2 ,"1,100,178 ",,96.75%
30074,曾淑賢,2 ,"1,100,180 ",,96.75%
30075,白崇禧,2 ,"1,100,182 ",,96.75%
30076,楊國揚,2 ,"1,100,184 ",,96.75%
30077,親職教育,2 ,"1,100,186 ",,96.75%
30078,教育科,2 ,"1,100,188 ",,96.75%
30079,資政,2 ,"1,100,190 ",,96.75%
30080,四一,2 ,"1,100,192 ",,96.75%
