序號,詞彙,詞頻,累積詞頻,前100名高頻詞累積百分比,"總詞數累積
百分比"
60001,掛有頭二,1 ,"1,134,292 ",,99.75%
60002,合造車,1 ,"1,134,293 ",,99.75%
60003,三等車,1 ,"1,134,294 ",,99.75%
60004,大陸派,1 ,"1,134,295 ",,99.75%
60005,密閉風檔,1 ,"1,134,296 ",,99.75%
60006,瞭望室,1 ,"1,134,297 ",,99.75%
60007,瞭望車,1 ,"1,134,298 ",,99.75%
60008,流線形,1 ,"1,134,299 ",,99.75%
60009,鋼體化,1 ,"1,134,300 ",,99.75%
60010,銘傳號,1 ,"1,134,301 ",,99.75%
60011,鐵道史,1 ,"1,134,302 ",,99.75%
60012,存世,1 ,"1,134,303 ",,99.75%
60013,紐倫堡,1 ,"1,134,304 ",,99.75%
60014,切來,1 ,"1,134,305 ",,99.75%
60015,貴賓車,1 ,"1,134,306 ",,99.75%
60016,御召,1 ,"1,134,307 ",,99.75%
60017,細致,1 ,"1,134,308 ",,99.75%
60018,形式圖,1 ,"1,134,309 ",,99.75%
60019,忠貞,1 ,"1,134,310 ",,99.75%
60020,俗稱為,1 ,"1,134,311 ",,99.75%
60021,寡婦,1 ,"1,134,312 ",,99.75%
60022,上部,1 ,"1,134,313 ",,99.75%
60023,識貨,1 ,"1,134,314 ",,99.75%
60024,切法,1 ,"1,134,315 ",,99.75%
60025,水湳,1 ,"1,134,316 ",,99.75%
60026,新切,1 ,"1,134,317 ",,99.75%
60027,子彈頭,1 ,"1,134,318 ",,99.75%
60028,窗帶,1 ,"1,134,319 ",,99.75%
60029,舊線,1 ,"1,134,320 ",,99.75%
60030,車長,1 ,"1,134,321 ",,99.75%
60031,彈丸,1 ,"1,134,322 ",,99.75%
60032,博雅館,1 ,"1,134,323 ",,99.75%
60033,咚咚咚,1 ,"1,134,324 ",,99.75%
60034,摳摳,1 ,"1,134,325 ",,99.75%
60035,評審完,1 ,"1,134,326 ",,99.75%
60036,睡午覺,1 ,"1,134,327 ",,99.75%
60037,楊卓成,1 ,"1,134,328 ",,99.75%
60038,天水路,1 ,"1,134,329 ",,99.75%
60039,華亭,1 ,"1,134,330 ",,99.75%
60040,大驚,1 ,"1,134,331 ",,99.75%
60041,老高,1 ,"1,134,332 ",,99.75%
60042,毀去,1 ,"1,134,333 ",,99.75%
60043,辦展,1 ,"1,134,334 ",,99.75%
60044,廢墟迷,1 ,"1,134,335 ",,99.75%
60045,器械,1 ,"1,134,336 ",,99.75%
60046,整飭,1 ,"1,134,337 ",,99.75%
60047,惜物,1 ,"1,134,338 ",,99.75%
60048,搬下來,1 ,"1,134,339 ",,99.75%
60049,掉出來,1 ,"1,134,340 ",,99.75%
60050,台鐵人,1 ,"1,134,341 ",,99.75%
60051,心形,1 ,"1,134,342 ",,99.75%
60052,時代感,1 ,"1,134,343 ",,99.75%
60053,寢台車,1 ,"1,134,344 ",,99.75%
60054,椅架,1 ,"1,134,345 ",,99.76%
60055,提列為,1 ,"1,134,346 ",,99.76%
60056,去文,1 ,"1,134,347 ",,99.76%
60057,都委會,1 ,"1,134,348 ",,99.76%
60058,地景歸,1 ,"1,134,349 ",,99.76%
60059,主結構,1 ,"1,134,350 ",,99.76%
60060,側壁,1 ,"1,134,351 ",,99.76%
60061,鋼纜,1 ,"1,134,352 ",,99.76%
60062,風力塔,1 ,"1,134,353 ",,99.76%
60063,鐵柱,1 ,"1,134,354 ",,99.76%
60064,飛行場,1 ,"1,134,355 ",,99.76%
60065,丟入,1 ,"1,134,356 ",,99.76%
60066,紀念章,1 ,"1,134,357 ",,99.76%
60067,老皮章,1 ,"1,134,358 ",,99.76%
60068,老皮車,1 ,"1,134,359 ",,99.76%
60069,商務車,1 ,"1,134,360 ",,99.76%
60070,幌子,1 ,"1,134,361 ",,99.76%
60071,強奪民地,1 ,"1,134,362 ",,99.76%
60072,無邪,1 ,"1,134,363 ",,99.76%
60073,拆光光,1 ,"1,134,364 ",,99.76%
60074,拆拆拆,1 ,"1,134,365 ",,99.76%
60075,大氣系,1 ,"1,134,366 ",,99.76%
60076,系友,1 ,"1,134,367 ",,99.76%
60077,僑光堂,1 ,"1,134,368 ",,99.76%
60078,地理系,1 ,"1,134,369 ",,99.76%
60079,七十年代,1 ,"1,134,370 ",,99.76%
60080,火車書,1 ,"1,134,371 ",,99.76%
60081,大山,1 ,"1,134,372 ",,99.76%
60082,竹島,1 ,"1,134,373 ",,99.76%
60083,飛迷,1 ,"1,134,374 ",,99.76%
60084,艦船迷,1 ,"1,134,375 ",,99.76%
60085,怪獸迷,1 ,"1,134,376 ",,99.76%
60086,印給,1 ,"1,134,377 ",,99.76%
60087,加油添醋,1 ,"1,134,378 ",,99.76%
60088,避嫌,1 ,"1,134,379 ",,99.76%
60089,作展,1 ,"1,134,380 ",,99.76%
60090,展間,1 ,"1,134,381 ",,99.76%
60091,大事紀,1 ,"1,134,382 ",,99.76%
60092,黑壓壓,1 ,"1,134,383 ",,99.76%
60093,意像展,1 ,"1,134,384 ",,99.76%
60094,疊圖,1 ,"1,134,385 ",,99.76%
60095,國弄,1 ,"1,134,386 ",,99.76%
60096,意像,1 ,"1,134,387 ",,99.76%
60097,哀哉,1 ,"1,134,388 ",,99.76%
60098,超深色,1 ,"1,134,389 ",,99.76%
60099,日航,1 ,"1,134,390 ",,99.76%
60100,日亞航,1 ,"1,134,391 ",,99.76%
60101,逮,1 ,"1,134,392 ",,99.76%
60102,現時刻,1 ,"1,134,393 ",,99.76%
60103,晃點,1 ,"1,134,394 ",,99.76%
60104,表定,1 ,"1,134,395 ",,99.76%
60105,七點五十,1 ,"1,134,396 ",,99.76%
60106,滑過,1 ,"1,134,397 ",,99.76%
60107,起飛潮,1 ,"1,134,398 ",,99.76%
60108,拖機,1 ,"1,134,399 ",,99.76%
60109,空廚,1 ,"1,134,400 ",,99.76%
60110,蛇籠,1 ,"1,134,401 ",,99.76%
60111,熱帶版,1 ,"1,134,402 ",,99.76%
60112,氣候區,1 ,"1,134,403 ",,99.76%
60113,抗寒型,1 ,"1,134,404 ",,99.76%
60114,運抵,1 ,"1,134,405 ",,99.76%
60115,大修復,1 ,"1,134,406 ",,99.76%
60116,觀光團,1 ,"1,134,407 ",,99.76%
60117,峰雪剛,1 ,"1,134,408 ",,99.76%
60118,富内線振,1 ,"1,134,409 ",,99.76%
60119,内駅站,1 ,"1,134,410 ",,99.76%
60120,別海町,1 ,"1,134,411 ",,99.76%
60121,迷到,1 ,"1,134,412 ",,99.76%
60122,蒸機出來,1 ,"1,134,413 ",,99.76%
60123,老嫗,1 ,"1,134,414 ",,99.76%
60124,名點,1 ,"1,134,415 ",,99.76%
60125,進出站,1 ,"1,134,416 ",,99.76%
60126,煙況,1 ,"1,134,417 ",,99.76%
60127,森,1 ,"1,134,418 ",,99.76%
60128,逼逼,1 ,"1,134,419 ",,99.76%
60129,拍蒸機,1 ,"1,134,420 ",,99.76%
60130,解聯,1 ,"1,134,421 ",,99.76%
60131,拖出,1 ,"1,134,422 ",,99.76%
60132,冠以,1 ,"1,134,423 ",,99.76%
60133,賽車場,1 ,"1,134,424 ",,99.76%
60134,台用,1 ,"1,134,425 ",,99.76%
60135,迷連,1 ,"1,134,426 ",,99.76%
60136,焦段,1 ,"1,134,427 ",,99.76%
60137,混雜度,1 ,"1,134,428 ",,99.76%
60138,北廣島,1 ,"1,134,429 ",,99.76%
60139,陰天,1 ,"1,134,430 ",,99.76%
60140,長浜,1 ,"1,134,431 ",,99.76%
60141,高廠,1 ,"1,134,432 ",,99.76%
60142,標準色,1 ,"1,134,433 ",,99.76%
60143,國鐵,1 ,"1,134,434 ",,99.76%
60144,莒光號,1 ,"1,134,435 ",,99.76%
60145,選色,1 ,"1,134,436 ",,99.76%
60146,色卡,1 ,"1,134,437 ",,99.76%
60147,民防坑道,1 ,"1,134,438 ",,99.76%
60148,五指,1 ,"1,134,439 ",,99.76%
60149,香煎干,1 ,"1,134,440 ",,99.76%
60150,貝,1 ,"1,134,441 ",,99.76%
60151,溫無花果,1 ,"1,134,442 ",,99.76%
60152,芥濃湯,1 ,"1,134,443 ",,99.76%
60153,卡布其諾,1 ,"1,134,444 ",,99.76%
60154,鬼伯特,1 ,"1,134,445 ",,99.76%
60155,拉雅岩鹽,1 ,"1,134,446 ",,99.76%
60156,熟成,1 ,"1,134,447 ",,99.76%
60157,～～,1 ,"1,134,448 ",,99.76%
60158,阿本仔,1 ,"1,134,449 ",,99.76%
60159,一道道,1 ,"1,134,450 ",,99.76%
60160,轉過去,1 ,"1,134,451 ",,99.76%
60161,海螺,1 ,"1,134,452 ",,99.76%
60162,配點,1 ,"1,134,453 ",,99.76%
60163,蛤罵湯,1 ,"1,134,454 ",,99.76%
60164,算起來,1 ,"1,134,455 ",,99.76%
60165,小林麵館,1 ,"1,134,456 ",,99.76%
60166,復興站,1 ,"1,134,457 ",,99.76%
60167,麵食館,1 ,"1,134,458 ",,99.77%
60168,排骨肉,1 ,"1,134,459 ",,99.77%
60169,牛肉湯,1 ,"1,134,460 ",,99.77%
60170,炸旗魚,1 ,"1,134,461 ",,99.77%
60171,炸天婦羅,1 ,"1,134,462 ",,99.77%
60172,麵炎仔,1 ,"1,134,463 ",,99.77%
60173,蘆薈,1 ,"1,134,464 ",,99.77%
60174,點現,1 ,"1,134,465 ",,99.77%
60175,山越,1 ,"1,134,466 ",,99.77%
60176,海月,1 ,"1,134,467 ",,99.77%
60177,蔬菜盤,1 ,"1,134,468 ",,99.77%
60178,防燙片,1 ,"1,134,469 ",,99.77%
60179,超舒服,1 ,"1,134,470 ",,99.77%
60180,油花花,1 ,"1,134,471 ",,99.77%
60181,青魽肚,1 ,"1,134,472 ",,99.77%
60182,海鱺肚,1 ,"1,134,473 ",,99.77%
60183,端來,1 ,"1,134,474 ",,99.77%
60184,塌下去,1 ,"1,134,475 ",,99.77%
60185,香甜味兒,1 ,"1,134,476 ",,99.77%
60186,嫩口,1 ,"1,134,477 ",,99.77%
60187,杏仁精,1 ,"1,134,478 ",,99.77%
60188,豆腐界,1 ,"1,134,479 ",,99.77%
60189,驚呆,1 ,"1,134,480 ",,99.77%
