序號,詞彙,詞頻,累積詞頻,前100名高頻詞累積百分比,"總詞數累積
百分比"
1,的,"70,178 ","70,178 ",15.92%,5.63%
2,是,"22,215 ","92,393 ",20.96%,7.41%
3,一,"14,770 ","107,163 ",24.32%,8.60%
4,在,"14,732 ","121,895 ",27.66%,9.78%
5,我,"12,178 ","134,073 ",30.42%,10.76%
6,有,"11,817 ","145,890 ",33.10%,11.71%
7,了,"11,632 ","157,522 ",35.74%,12.64%
8,不,"10,164 ","167,686 ",38.05%,13.46%
9,就,"10,018 ","177,704 ",40.32%,14.26%
10,個,"9,675 ","187,379 ",42.52%,15.04%
11,這,"8,971 ","196,350 ",44.55%,15.76%
12,也,"8,468 ","204,818 ",46.47%,16.44%
13,都,"6,657 ","211,475 ",47.98%,16.97%
14,他,"6,332 ","217,807 ",49.42%,17.48%
15,會,"6,059 ","223,866 ",50.79%,17.97%
16,人,"5,929 ","229,795 ",52.14%,18.44%
17,要,"5,174 ","234,969 ",53.31%,18.86%
18,上,"5,000 ","239,969 ",54.45%,19.26%
19,與,"4,926 ","244,895 ",55.57%,19.65%
20,說,"4,822 ","249,717 ",56.66%,20.04%
21,和,"4,818 ","254,535 ",57.75%,20.43%
22,你,"4,798 ","259,333 ",58.84%,20.81%
23,很,"4,219 ","263,552 ",59.80%,21.15%
24,還,"4,121 ","267,673 ",60.73%,21.48%
25,來,"3,850 ","271,523 ",61.61%,21.79%
26,但,"3,793 ","275,316 ",62.47%,22.09%
27,年,"3,707 ","279,023 ",63.31%,22.39%
28,對,"3,654 ","282,677 ",64.14%,22.68%
29,讓,"3,636 ","286,313 ",64.96%,22.98%
30,中,"3,511 ","289,824 ",65.76%,23.26%
31,為,"3,421 ","293,245 ",66.54%,23.53%
32,我們,"3,403 ","296,648 ",67.31%,23.81%
33,到,"3,282 ","299,930 ",68.05%,24.07%
34,而,"3,190 ","303,120 ",68.78%,24.33%
35,大,"3,122 ","306,242 ",69.49%,24.58%
36,能,"3,003 ","309,245 ",70.17%,24.82%
37,可以,"2,981 ","312,226 ",70.84%,25.06%
38,好,"2,905 ","315,131 ",71.50%,25.29%
39,後,"2,903 ","318,034 ",72.16%,25.52%
40,被,"2,844 ","320,878 ",72.81%,25.75%
41,將,"2,743 ","323,621 ",73.43%,25.97%
42,著,"2,721 ","326,342 ",74.05%,26.19%
43,最,"2,720 ","329,062 ",74.66%,26.41%
44,以,"2,701 ","331,763 ",75.28%,26.62%
45,之,"2,699 ","334,462 ",75.89%,26.84%
46,沒有,"2,676 ","337,138 ",76.50%,27.06%
47,兩,"2,631 ","339,769 ",77.09%,27.27%
48,時,"2,630 ","342,399 ",77.69%,27.48%
49,自己,"2,627 ","345,026 ",78.29%,27.69%
50,那,"2,606 ","347,632 ",78.88%,27.90%
51,種,"2,574 ","350,206 ",79.46%,28.10%
52,她,"2,404 ","352,610 ",80.01%,28.30%
53,因為,"2,395 ","355,005 ",80.55%,28.49%
54,他們,"2,393 ","357,398 ",81.09%,28.68%
55,從,"2,325 ","359,723 ",81.62%,28.87%
56,等,"2,302 ","362,025 ",82.14%,29.05%
57,更,"2,264 ","364,289 ",82.66%,29.23%
58,台灣,"2,258 ","366,547 ",83.17%,29.42%
59,次,"2,257 ","368,804 ",83.68%,29.60%
60,跟,"2,226 ","371,030 ",84.19%,29.78%
61,只,"2,154 ","373,184 ",84.67%,29.95%
62,每,"2,131 ","375,315 ",85.16%,30.12%
63,或,"2,120 ","377,435 ",85.64%,30.29%
64,看,"2,117 ","379,552 ",86.12%,30.46%
65,才,"2,115 ","381,667 ",86.60%,30.63%
66,把,"2,104 ","383,771 ",87.08%,30.80%
67,多,"2,048 ","385,819 ",87.54%,30.96%
68,又,"2,043 ","387,862 ",88.01%,31.13%
69,去,"2,030 ","389,892 ",88.47%,31.29%
70,得,"1,971 ","391,863 ",88.91%,31.45%
71,並,"1,917 ","393,780 ",89.35%,31.60%
72,再,"1,902 ","395,682 ",89.78%,31.75%
73,想,"1,891 ","397,573 ",90.21%,31.91%
74,地,"1,801 ","399,374 ",90.62%,32.05%
75,天,"1,797 ","401,171 ",91.03%,32.19%
76,下,"1,794 ","402,965 ",91.43%,32.34%
77,及,"1,793 ","404,758 ",91.84%,32.48%
78,沒,"1,787 ","406,545 ",92.24%,32.63%
79,前,"1,773 ","408,318 ",92.65%,32.77%
80,過,"1,761 ","410,079 ",93.05%,32.91%
81,可,"1,750 ","411,829 ",93.44%,33.05%
82,做,"1,740 ","413,569 ",93.84%,33.19%
83,小,"1,687 ","415,256 ",94.22%,33.32%
84,裡,"1,664 ","416,920 ",94.60%,33.46%
85,用,"1,663 ","418,583 ",94.98%,33.59%
86,如果,"1,641 ","420,224 ",95.35%,33.72%
