序號,詞彙,詞頻,累積詞頻,前100名高頻詞累積百分比,"總詞數累積
百分比"
30001,母系,2 ,"1,201,545 ",,96.42%
30002,蔥媚,2 ,"1,201,547 ",,96.42%
30003,一件件,2 ,"1,201,549 ",,96.42%
30004,彩度,2 ,"1,201,551 ",,96.42%
30005,紫紅,2 ,"1,201,553 ",,96.42%
30006,橘,2 ,"1,201,555 ",,96.42%
30007,待久,2 ,"1,201,557 ",,96.43%
30008,延平鄉,2 ,"1,201,559 ",,96.43%
30009,鶯山,2 ,"1,201,561 ",,96.43%
30010,珍稀,2 ,"1,201,563 ",,96.43%
30011,凜然,2 ,"1,201,565 ",,96.43%
30012,房地,2 ,"1,201,567 ",,96.43%
30013,布農,2 ,"1,201,569 ",,96.43%
30014,賜予,2 ,"1,201,571 ",,96.43%
30015,茅草,2 ,"1,201,573 ",,96.43%
30016,成功鎮,2 ,"1,201,575 ",,96.43%
30017,尖石鄉,2 ,"1,201,577 ",,96.43%
30018,木藝,2 ,"1,201,579 ",,96.43%
30019,泰雅族人,2 ,"1,201,581 ",,96.43%
30020,外賓,2 ,"1,201,583 ",,96.43%
30021,聖品,2 ,"1,201,585 ",,96.43%
30022,餐飲組,2 ,"1,201,587 ",,96.43%
30023,變出來,2 ,"1,201,589 ",,96.43%
30024,探用,2 ,"1,201,591 ",,96.43%
30025,行舟,2 ,"1,201,593 ",,96.43%
30026,樹影,2 ,"1,201,595 ",,96.43%
30027,豐富度,2 ,"1,201,597 ",,96.43%
30028,自營,2 ,"1,201,599 ",,96.43%
30029,哈旺,2 ,"1,201,601 ",,96.43%
30030,寄予,2 ,"1,201,603 ",,96.43%
30031,女兵,2 ,"1,201,605 ",,96.43%
30032,余湘,2 ,"1,201,607 ",,96.43%
30033,余水之歡,2 ,"1,201,609 ",,96.43%
30034,潔白,2 ,"1,201,611 ",,96.43%
30035,醫科,2 ,"1,201,613 ",,96.43%
30036,四年,2 ,"1,201,615 ",,96.43%
30037,賴怡如,2 ,"1,201,617 ",,96.43%
30038,獻藝,2 ,"1,201,619 ",,96.43%
30039,哄堂大笑,2 ,"1,201,621 ",,96.43%
30040,杜會,2 ,"1,201,623 ",,96.43%
30041,聯考,2 ,"1,201,625 ",,96.43%
30042,貢獻獎,2 ,"1,201,627 ",,96.43%
30043,淚光,2 ,"1,201,629 ",,96.43%
30044,三斯堂,2 ,"1,201,631 ",,96.43%
30045,金花,2 ,"1,201,633 ",,96.43%
30046,逃出來,2 ,"1,201,635 ",,96.43%
30047,圓桌,2 ,"1,201,637 ",,96.43%
30048,翻天覆地,2 ,"1,201,639 ",,96.43%
30049,轉虧為盈,2 ,"1,201,641 ",,96.43%
30050,慌亂,2 ,"1,201,643 ",,96.43%
30051,倩影,2 ,"1,201,645 ",,96.43%
30052,永存,2 ,"1,201,647 ",,96.43%
30053,後段班,2 ,"1,201,649 ",,96.43%
30054,填鴨,2 ,"1,201,651 ",,96.43%
30055,車陣,2 ,"1,201,653 ",,96.43%
30056,莫迪裡亞尼,2 ,"1,201,655 ",,96.43%
30057,兀自,2 ,"1,201,657 ",,96.43%
30058,獨坐,2 ,"1,201,659 ",,96.43%
30059,樹蛙,2 ,"1,201,661 ",,96.43%
30060,芋,2 ,"1,201,663 ",,96.43%
30061,杏花,2 ,"1,201,665 ",,96.43%
30062,杜鵑花,2 ,"1,201,667 ",,96.43%
30063,啟發式,2 ,"1,201,669 ",,96.43%
30064,填鴨式,2 ,"1,201,671 ",,96.43%
30065,班傑明,2 ,"1,201,673 ",,96.43%
30066,飛舞,2 ,"1,201,675 ",,96.43%
30067,點水,2 ,"1,201,677 ",,96.43%
30068,無足輕重,2 ,"1,201,679 ",,96.43%
30069,推辭,2 ,"1,201,681 ",,96.43%
30070,李永豐,2 ,"1,201,683 ",,96.44%
30071,可見得,2 ,"1,201,685 ",,96.44%
30072,目瞪口呆,2 ,"1,201,687 ",,96.44%
30073,盡興,2 ,"1,201,689 ",,96.44%
30074,紀念冊,2 ,"1,201,691 ",,96.44%
30075,大頭照,2 ,"1,201,693 ",,96.44%
30076,義勇軍,2 ,"1,201,695 ",,96.44%
30077,禁唱,2 ,"1,201,697 ",,96.44%
30078,影劇,2 ,"1,201,699 ",,96.44%
30079,狼犬,2 ,"1,201,701 ",,96.44%
30080,魁梧,2 ,"1,201,703 ",,96.44%
30081,相逢,2 ,"1,201,705 ",,96.44%
30082,當頭棒喝,2 ,"1,201,707 ",,96.44%
30083,稀世,2 ,"1,201,709 ",,96.44%
30084,發信,2 ,"1,201,711 ",,96.44%
30085,飯食,2 ,"1,201,713 ",,96.44%
30086,國文系,2 ,"1,201,715 ",,96.44%
30087,微觀,2 ,"1,201,717 ",,96.44%
30088,走不動,2 ,"1,201,719 ",,96.44%
30089,打罵,2 ,"1,201,721 ",,96.44%
30090,扁扁,2 ,"1,201,723 ",,96.44%
30091,召,2 ,"1,201,725 ",,96.44%
30092,四腳朝天,2 ,"1,201,727 ",,96.44%
30093,瑪蒂亞,2 ,"1,201,729 ",,96.44%
30094,清清,2 ,"1,201,731 ",,96.44%
30095,鼻孔,2 ,"1,201,733 ",,96.44%
30096,七十幾,2 ,"1,201,735 ",,96.44%
30097,西西,2 ,"1,201,737 ",,96.44%
30098,一點三,2 ,"1,201,739 ",,96.44%
30099,難事,2 ,"1,201,741 ",,96.44%
30100,糙米粥,2 ,"1,201,743 ",,96.44%
30101,餵飽,2 ,"1,201,745 ",,96.44%
30102,打嗝,2 ,"1,201,747 ",,96.44%
30103,兒手,2 ,"1,201,749 ",,96.44%
30104,喬治亞,2 ,"1,201,751 ",,96.44%
30105,縫紉,2 ,"1,201,753 ",,96.44%
30106,熟能生巧,2 ,"1,201,755 ",,96.44%
30107,祖傳,2 ,"1,201,757 ",,96.44%
30108,趕完,2 ,"1,201,759 ",,96.44%
30109,狡猾,2 ,"1,201,761 ",,96.44%
30110,艱深,2 ,"1,201,763 ",,96.44%
30111,歸納出,2 ,"1,201,765 ",,96.44%
30112,物歸,2 ,"1,201,767 ",,96.44%
30113,沉睡,2 ,"1,201,769 ",,96.44%
30114,居服,2 ,"1,201,771 ",,96.44%
30115,妝點,2 ,"1,201,773 ",,96.44%
30116,閑,2 ,"1,201,775 ",,96.44%
30117,老老實實,2 ,"1,201,777 ",,96.44%
30118,畫線,2 ,"1,201,779 ",,96.44%
30119,融為,2 ,"1,201,781 ",,96.44%
30120,書堆,2 ,"1,201,783 ",,96.44%
30121,貼住,2 ,"1,201,785 ",,96.44%
30122,整理出來,2 ,"1,201,787 ",,96.44%
30123,紙量,2 ,"1,201,789 ",,96.44%
30124,說得過去,2 ,"1,201,791 ",,96.44%
30125,怦然,2 ,"1,201,793 ",,96.44%
30126,猜出,2 ,"1,201,795 ",,96.44%
30127,鈕扣,2 ,"1,201,797 ",,96.44%
30128,護身符,2 ,"1,201,799 ",,96.44%
30129,收起來,2 ,"1,201,801 ",,96.44%
30130,模稜兩可,2 ,"1,201,803 ",,96.44%
30131,查閱,2 ,"1,201,805 ",,96.44%
30132,久久,2 ,"1,201,807 ",,96.45%
30133,霉昧,2 ,"1,201,809 ",,96.45%
30134,水壺,2 ,"1,201,811 ",,96.45%
30135,把手,2 ,"1,201,813 ",,96.45%
30136,褲襪,2 ,"1,201,815 ",,96.45%
30137,微波爐,2 ,"1,201,817 ",,96.45%
30138,圓盤,2 ,"1,201,819 ",,96.45%
30139,四方形,2 ,"1,201,821 ",,96.45%
30140,無奇,2 ,"1,201,823 ",,96.45%
30141,收納法,2 ,"1,201,825 ",,96.45%
30142,留神,2 ,"1,201,827 ",,96.45%
30143,打造成,2 ,"1,201,829 ",,96.45%
30144,長男,2 ,"1,201,831 ",,96.45%
30145,決斷力,2 ,"1,201,833 ",,96.45%
30146,沉穩,2 ,"1,201,835 ",,96.45%
30147,超怕,2 ,"1,201,837 ",,96.45%
30148,哄抬法,2 ,"1,201,839 ",,96.45%
30149,檢察署,2 ,"1,201,841 ",,96.45%
30150,成案,2 ,"1,201,843 ",,96.45%
30151,渾水,2 ,"1,201,845 ",,96.45%
30152,索維爾,2 ,"1,201,847 ",,96.45%
30153,冰袋,2 ,"1,201,849 ",,96.45%
30154,賣價,2 ,"1,201,851 ",,96.45%
30155,撤回,2 ,"1,201,853 ",,96.45%
30156,郵報,2 ,"1,201,855 ",,96.45%
30157,紐約州,2 ,"1,201,857 ",,96.45%
30158,生還,2 ,"1,201,859 ",,96.45%
30159,辯方,2 ,"1,201,861 ",,96.45%
30160,算進去,2 ,"1,201,863 ",,96.45%
30161,艙房,2 ,"1,201,865 ",,96.45%
30162,禍福,2 ,"1,201,867 ",,96.45%
30163,度量衡,2 ,"1,201,869 ",,96.45%
30164,煙草,2 ,"1,201,871 ",,96.45%
30165,菲利普莫里斯,2 ,"1,201,873 ",,96.45%
30166,異己,2 ,"1,201,875 ",,96.45%
30167,有礙,2 ,"1,201,877 ",,96.45%
30168,喜惡,2 ,"1,201,879 ",,96.45%
30169,喜出望外,2 ,"1,201,881 ",,96.45%
30170,新添,2 ,"1,201,883 ",,96.45%
30171,領受,2 ,"1,201,885 ",,96.45%
30172,饑民,2 ,"1,201,887 ",,96.45%
30173,徵得,2 ,"1,201,889 ",,96.45%
30174,自明,2 ,"1,201,891 ",,96.45%
30175,票票,2 ,"1,201,893 ",,96.45%
30176,徵召令,2 ,"1,201,895 ",,96.45%
