序號,詞彙,詞頻,累積詞頻,前100名高頻詞累積百分比,"總詞數累積
百分比"
60001,烏拉草,1 ,"1,222,617 ",,99.51%
60002,請回去,1 ,"1,222,618 ",,99.51%
60003,茫茫大海,1 ,"1,222,619 ",,99.51%
60004,繞月,1 ,"1,222,620 ",,99.51%
60005,上策,1 ,"1,222,621 ",,99.51%
60006,儀來,1 ,"1,222,622 ",,99.51%
60007,工整,1 ,"1,222,623 ",,99.51%
60008,不見方形,1 ,"1,222,624 ",,99.51%
60009,形貌,1 ,"1,222,625 ",,99.51%
60010,飄飄河,1 ,"1,222,626 ",,99.51%
60011,海天一色,1 ,"1,222,627 ",,99.51%
60012,借取,1 ,"1,222,628 ",,99.51%
60013,容顏,1 ,"1,222,629 ",,99.51%
60014,築成,1 ,"1,222,630 ",,99.51%
60015,做發,1 ,"1,222,631 ",,99.51%
60016,刻劃出,1 ,"1,222,632 ",,99.51%
60017,生活感,1 ,"1,222,633 ",,99.51%
60018,沙沙,1 ,"1,222,634 ",,99.51%
60019,櫃好,1 ,"1,222,635 ",,99.51%
60020,李果樺,1 ,"1,222,636 ",,99.51%
60021,玄關區,1 ,"1,222,637 ",,99.51%
60022,挖空,1 ,"1,222,638 ",,99.51%
60023,展示台,1 ,"1,222,639 ",,99.51%
60024,創璞,1 ,"1,222,640 ",,99.51%
60025,李智哲,1 ,"1,222,641 ",,99.51%
60026,中界,1 ,"1,222,642 ",,99.51%
60027,隔牆,1 ,"1,222,643 ",,99.51%
60028,背出去,1 ,"1,222,644 ",,99.51%
60029,呂俐錡,1 ,"1,222,645 ",,99.51%
60030,附門片,1 ,"1,222,646 ",,99.51%
60031,具收,1 ,"1,222,647 ",,99.51%
60032,納進去,1 ,"1,222,648 ",,99.51%
60033,餘裕,1 ,"1,222,649 ",,99.51%
60034,製做,1 ,"1,222,650 ",,99.51%
60035,浮雕,1 ,"1,222,651 ",,99.51%
60036,冷氣孔,1 ,"1,222,652 ",,99.51%
60037,長頸鹿,1 ,"1,222,653 ",,99.51%
60038,劉協達,1 ,"1,222,654 ",,99.51%
60039,蘭花節,1 ,"1,222,655 ",,99.51%
60040,祈許,1 ,"1,222,656 ",,99.51%
60041,九世,1 ,"1,222,657 ",,99.51%
60042,女仕,1 ,"1,222,658 ",,99.51%
60043,蘭花束,1 ,"1,222,659 ",,99.51%
60044,花道,1 ,"1,222,660 ",,99.51%
60045,阿把意,1 ,"1,222,661 ",,99.51%
60046,湯盤,1 ,"1,222,662 ",,99.51%
60047,一朵朵,1 ,"1,222,663 ",,99.51%
60048,物地,1 ,"1,222,664 ",,99.51%
60049,運用成,1 ,"1,222,665 ",,99.51%
60050,主臥房,1 ,"1,222,666 ",,99.51%
60051,嬰兒房,1 ,"1,222,667 ",,99.51%
60052,讓客,1 ,"1,222,668 ",,99.51%
60053,磚引入,1 ,"1,222,669 ",,99.51%
60054,加百,1 ,"1,222,670 ",,99.51%
60055,漂浮感,1 ,"1,222,671 ",,99.51%
60056,加厚,1 ,"1,222,672 ",,99.51%
60057,大地色,1 ,"1,222,673 ",,99.51%
60058,型塑,1 ,"1,222,674 ",,99.51%
60059,輕鬆感,1 ,"1,222,675 ",,99.51%
60060,設計款,1 ,"1,222,676 ",,99.51%
60061,落地燈,1 ,"1,222,677 ",,99.51%
60062,投射燈,1 ,"1,222,678 ",,99.51%
60063,泛稱為,1 ,"1,222,679 ",,99.51%
60064,珍木,1 ,"1,222,680 ",,99.51%
60065,抗霉率,1 ,"1,222,681 ",,99.51%
60066,病源菌,1 ,"1,222,682 ",,99.52%
60067,自律神經,1 ,"1,222,683 ",,99.52%
60068,成就品,1 ,"1,222,684 ",,99.52%
60069,生硬感,1 ,"1,222,685 ",,99.52%
60070,海馬體,1 ,"1,222,686 ",,99.52%
60071,刻骨銘心,1 ,"1,222,687 ",,99.52%
60072,毎,1 ,"1,222,688 ",,99.52%
60073,顯長,1 ,"1,222,689 ",,99.52%
60074,柚木傢俱,1 ,"1,222,690 ",,99.52%
60075,主人椅,1 ,"1,222,691 ",,99.52%
60076,品為,1 ,"1,222,692 ",,99.52%
60077,散發芬,1 ,"1,222,693 ",,99.52%
60078,新做,1 ,"1,222,694 ",,99.52%
60079,敞亮,1 ,"1,222,695 ",,99.52%
60080,翠綠色,1 ,"1,222,696 ",,99.52%
60081,籐籃,1 ,"1,222,697 ",,99.52%
60082,花花草草,1 ,"1,222,698 ",,99.52%
60083,上下墊,1 ,"1,222,699 ",,99.52%
60084,下墊,1 ,"1,222,700 ",,99.52%
60085,底板型,1 ,"1,222,701 ",,99.52%
60086,放上去,1 ,"1,222,702 ",,99.52%
60087,豬肋排,1 ,"1,222,703 ",,99.52%
60088,獨立筒,1 ,"1,222,704 ",,99.52%
60089,床框,1 ,"1,222,705 ",,99.52%
60090,床包,1 ,"1,222,706 ",,99.52%
60091,訂製品,1 ,"1,222,707 ",,99.52%
60092,退換貨,1 ,"1,222,708 ",,99.52%
60093,灰階,1 ,"1,222,709 ",,99.52%
60094,王俊宏式,1 ,"1,222,710 ",,99.52%
60095,不同以往,1 ,"1,222,711 ",,99.52%
60096,餐廳區,1 ,"1,222,712 ",,99.52%
60097,鍥而不捨,1 ,"1,222,713 ",,99.52%
60098,王國內,1 ,"1,222,714 ",,99.52%
60099,找著,1 ,"1,222,715 ",,99.52%
60100,高腳,1 ,"1,222,716 ",,99.52%
60101,吧檯椅,1 ,"1,222,717 ",,99.52%
60102,美型,1 ,"1,222,718 ",,99.52%
60103,適得其所,1 ,"1,222,719 ",,99.52%
60104,磚砌成,1 ,"1,222,720 ",,99.52%
60105,穿衣鏡,1 ,"1,222,721 ",,99.52%
60106,觀景用,1 ,"1,222,722 ",,99.52%
60107,使主,1 ,"1,222,723 ",,99.52%
60108,一氣呵成,1 ,"1,222,724 ",,99.52%
60109,寬敞度,1 ,"1,222,725 ",,99.52%
60110,獨立式,1 ,"1,222,726 ",,99.52%
60111,鞋櫃室,1 ,"1,222,727 ",,99.52%
60112,進客,1 ,"1,222,728 ",,99.52%
60113,方德琳家,1 ,"1,222,729 ",,99.52%
60114,房頭,1 ,"1,222,730 ",,99.52%
60115,房尾,1 ,"1,222,731 ",,99.52%
60116,氣窗,1 ,"1,222,732 ",,99.52%
60117,實色,1 ,"1,222,733 ",,99.52%
60118,飽和色,1 ,"1,222,734 ",,99.52%
60119,視覺感,1 ,"1,222,735 ",,99.52%
60120,戲劇感,1 ,"1,222,736 ",,99.52%
60121,實心,1 ,"1,222,737 ",,99.52%
60122,玻璃門,1 ,"1,222,738 ",,99.52%
60123,屏除,1 ,"1,222,739 ",,99.52%
60124,擺書,1 ,"1,222,740 ",,99.52%
60125,盤坐,1 ,"1,222,741 ",,99.52%
60126,釉面,1 ,"1,222,742 ",,99.52%
60127,一圈圈,1 ,"1,222,743 ",,99.52%
60128,燈槽,1 ,"1,222,744 ",,99.52%
60129,溫暖感,1 ,"1,222,745 ",,99.52%
60130,公車站,1 ,"1,222,746 ",,99.52%
60131,可讀性,1 ,"1,222,747 ",,99.52%
60132,椅到,1 ,"1,222,748 ",,99.52%
60133,酒櫃,1 ,"1,222,749 ",,99.52%
60134,酒種,1 ,"1,222,750 ",,99.52%
60135,層架,1 ,"1,222,751 ",,99.52%
60136,箱箱體,1 ,"1,222,752 ",,99.52%
60137,收納面,1 ,"1,222,753 ",,99.52%
