字頻序位,字,字頻,累積字頻,前100名高頻字累積百分比,"總字數累積
百分比"
1,的,"71,997 ","71,997 ",9.05%,3.59%
2,是,"28,009 ","100,006 ",12.57%,4.99%
3,一,"26,353 ","126,359 ",15.88%,6.30%
4,不,"22,092 ","148,451 ",18.66%,7.40%
5,有,"19,520 ","167,971 ",21.11%,8.38%
6,在,"17,893 ","185,864 ",23.36%,9.27%
7,人,"16,467 ","202,331 ",25.43%,10.09%
8,我,"16,050 ","218,381 ",27.44%,10.89%
9,這,"13,041 ","231,422 ",29.08%,11.54%
10,了,"12,952 ","244,374 ",30.71%,12.19%
11,大,"11,842 ","256,216 ",32.20%,12.78%
12,會,"11,840 ","268,056 ",33.69%,13.37%
13,來,"11,155 ","279,211 ",35.09%,13.92%
14,到,"10,998 ","290,209 ",36.47%,14.47%
15,為,"10,902 ","301,111 ",37.84%,15.02%
16,就,"10,873 ","311,984 ",39.21%,15.56%
17,以,"10,614 ","322,598 ",40.54%,16.09%
18,個,"10,384 ","332,982 ",41.85%,16.60%
19,要,"9,945 ","342,927 ",43.10%,17.10%
20,上,"9,883 ","352,810 ",44.34%,17.59%
21,他,"9,685 ","362,495 ",45.55%,18.08%
22,國,"9,409 ","371,904 ",46.74%,18.55%
23,中,"9,194 ","381,098 ",47.89%,19.00%
24,時,"9,029 ","390,127 ",49.03%,19.45%
25,年,"8,983 ","399,110 ",50.16%,19.90%
26,也,"8,693 ","407,803 ",51.25%,20.34%
27,可,"8,170 ","415,973 ",52.27%,20.74%
28,出,"7,836 ","423,809 ",53.26%,21.13%
29,生,"7,682 ","431,491 ",54.22%,21.52%
30,們,"7,583 ","439,074 ",55.18%,21.90%
31,能,"7,573 ","446,647 ",56.13%,22.27%
32,後,"7,461 ","454,108 ",57.07%,22.65%
33,過,"7,075 ","461,183 ",57.96%,23.00%
34,都,"7,013 ","468,196 ",58.84%,23.35%
35,成,"6,909 ","475,105 ",59.71%,23.69%
36,家,"6,795 ","481,900 ",60.56%,24.03%
37,對,"6,671 ","488,571 ",61.40%,24.36%
38,多,"6,625 ","495,196 ",62.23%,24.69%
39,說,"6,489 ","501,685 ",63.05%,25.02%
40,下,"6,355 ","508,040 ",63.84%,25.33%
41,好,"6,301 ","514,341 ",64.64%,25.65%
42,自,"6,238 ","520,579 ",65.42%,25.96%
43,之,"5,973 ","526,552 ",66.17%,26.26%
44,台,"5,944 ","532,496 ",66.92%,26.55%
45,地,"5,910 ","538,406 ",67.66%,26.85%
46,學,"5,848 ","544,254 ",68.40%,27.14%
47,得,"5,802 ","550,056 ",69.12%,27.43%
48,法,"5,708 ","555,764 ",69.84%,27.71%
49,發,"5,620 ","561,384 ",70.55%,27.99%
50,而,"5,604 ","566,988 ",71.25%,28.27%
51,用,"5,431 ","572,419 ",71.94%,28.54%
52,還,"5,418 ","577,837 ",72.62%,28.82%
53,與,"5,386 ","583,223 ",73.29%,29.08%
54,小,"5,312 ","588,535 ",73.96%,29.35%
55,現,"5,281 ","593,816 ",74.62%,29.61%
56,和,"5,279 ","599,095 ",75.29%,29.88%
57,動,"5,254 ","604,349 ",75.95%,30.14%
58,子,"5,247 ","609,596 ",76.61%,30.40%
59,你,"5,216 ","614,812 ",77.26%,30.66%
60,行,"5,194 ","620,006 ",77.92%,30.92%
61,經,"5,171 ","625,177 ",78.57%,31.18%
62,很,"5,126 ","630,303 ",79.21%,31.43%
63,開,"5,113 ","635,416 ",79.85%,31.69%
64,但,"5,094 ","640,510 ",80.49%,31.94%
65,沒,"5,087 ","645,597 ",81.13%,32.19%
66,天,"5,030 ","650,627 ",81.76%,32.44%
67,因,"5,012 ","655,639 ",82.39%,32.69%
68,看,"4,866 ","660,505 ",83.00%,32.94%
69,前,"4,812 ","665,317 ",83.61%,33.18%
70,於,"4,812 ","670,129 ",84.21%,33.42%
71,當,"4,804 ","674,933 ",84.82%,33.66%
72,如,"4,780 ","679,713 ",85.42%,33.90%
73,所,"4,664 ","684,377 ",86.00%,34.13%
74,民,"4,616 ","688,993 ",86.58%,34.36%
75,然,"4,593 ","693,586 ",87.16%,34.59%
76,事,"4,545 ","698,131 ",87.73%,34.81%
77,分,"4,466 ","702,597 ",88.29%,35.04%
78,最,"4,447 ","707,044 ",88.85%,35.26%
79,心,"4,428 ","711,472 ",89.41%,35.48%
80,長,"4,416 ","715,888 ",89.96%,35.70%
81,公,"4,330 ","720,218 ",90.51%,35.92%
82,方,"4,314 ","724,532 ",91.05%,36.13%
83,去,"4,274 ","728,806 ",91.59%,36.34%
84,力,"4,245 ","733,051 ",92.12%,36.56%
85,作,"4,180 ","737,231 ",92.65%,36.76%
86,麼,"4,136 ","741,367 ",93.17%,36.97%
87,想,"4,052 ","745,419 ",93.68%,37.17%
88,高,"4,013 ","749,432 ",94.18%,37.37%
89,本,"4,012 ","753,444 ",94.68%,37.57%
90,同,"3,933 ","757,377 ",95.18%,37.77%
91,定,"3,918 ","761,295 ",95.67%,37.96%
92,外,"3,893 ","765,188 ",96.16%,38.16%
93,進,"3,869 ","769,057 ",96.65%,38.35%
94,政,"3,855 ","772,912 ",97.13%,38.54%
95,那,"3,834 ","776,746 ",97.61%,38.73%
96,點,"3,823 ","780,569 ",98.09%,38.92%
97,起,"3,811 ","784,380 ",98.57%,39.11%
98,實,"3,805 ","788,185 ",99.05%,39.30%
99,面,"3,795 ","791,980 ",99.53%,39.49%
100,只,"3,763 ","795,743 ",100.00%,39.68%
101,十,"3,712 ","799,455 ",,39.87%
102,讓,"3,692 ","803,147 ",,40.05%
103,體,"3,691 ","806,838 ",,40.23%
104,間,"3,687 ","810,525 ",,40.42%
105,日,"3,685 ","814,210 ",,40.60%
106,其,"3,678 ","817,888 ",,40.79%
107,新,"3,658 ","821,546 ",,40.97%
108,著,"3,624 ","825,170 ",,41.15%
109,機,"3,608 ","828,778 ",,41.33%
110,三,"3,602 ","832,380 ",,41.51%
111,主,"3,584 ","835,964 ",,41.69%
112,樣,"3,529 ","839,493 ",,41.86%
113,業,"3,516 ","843,009 ",,42.04%
114,理,"3,514 ","846,523 ",,42.21%
115,道,"3,512 ","850,035 ",,42.39%
116,部,"3,503 ","853,538 ",,42.56%
117,全,"3,446 ","856,984 ",,42.74%
118,重,"3,431 ","860,415 ",,42.91%
119,手,"3,421 ","863,836 ",,43.08%
120,果,"3,413 ","867,249 ",,43.25%
121,美,"3,344 ","870,593 ",,43.41%
122,意,"3,334 ","873,927 ",,43.58%
123,工,"3,303 ","877,230 ",,43.74%
124,度,"3,278 ","880,508 ",,43.91%
125,將,"3,266 ","883,774 ",,44.07%
126,等,"3,255 ","887,029 ",,44.23%
127,兩,"3,224 ","890,253 ",,44.39%
128,種,"3,218 ","893,471 ",,44.55%
129,場,"3,193 ","896,664 ",,44.71%
130,從,"3,189 ","899,853 ",,44.87%
131,被,"3,158 ","903,011 ",,45.03%
132,加,"3,150 ","906,161 ",,45.19%
133,或,"3,144 ","909,305 ",,45.34%
134,無,"3,126 ","912,431 ",,45.50%
135,更,"3,081 ","915,512 ",,45.65%
136,比,"3,016 ","918,528 ",,45.80%
137,市,"2,997 ","921,525 ",,45.95%
138,及,"2,993 ","924,518 ",,46.10%
139,者,"2,981 ","927,499 ",,46.25%
140,表,"2,918 ","930,417 ",,46.40%
141,些,"2,914 ","933,331 ",,46.54%
142,二,"2,894 ","936,225 ",,46.69%
143,此,"2,871 ","939,096 ",,46.83%
144,常,"2,866 ","941,962 ",,46.97%
145,關,"2,863 ","944,825 ",,47.12%
146,員,"2,855 ","947,680 ",,47.26%
147,灣,"2,850 ","950,530 ",,47.40%
148,立,"2,850 ","953,380 ",,47.54%
149,性,"2,842 ","956,222 ",,47.68%
150,第,"2,841 ","959,063 ",,47.83%
151,球,"2,829 ","961,892 ",,47.97%
152,次,"2,826 ","964,718 ",,48.11%
153,內,"2,779 ","967,497 ",,48.25%
154,電,"2,759 ","970,256 ",,48.38%
155,應,"2,759 ","973,015 ",,48.52%
156,情,"2,758 ","975,773 ",,48.66%
157,裡,"2,750 ","978,523 ",,48.80%
158,合,"2,731 ","981,254 ",,48.93%
159,己,"2,724 ","983,978 ",,49.07%
160,身,"2,687 ","986,665 ",,49.20%
161,相,"2,683 ","989,348 ",,49.34%
162,入,"2,655 ","992,003 ",,49.47%
163,回,"2,631 ","994,634 ",,49.60%
164,她,"2,612 ","997,246 ",,49.73%
165,已,"2,608 ","999,854 ",,49.86%
166,物,"2,602 ","1,002,456 ",,49.99%
167,正,"2,578 ","1,005,034 ",,50.12%
168,做,"2,568 ","1,007,602 ",,50.25%
169,由,"2,565 ","1,010,167 ",,50.37%
170,化,"2,541 ","1,012,708 ",,50.50%
171,教,"2,539 ","1,015,247 ",,50.63%
172,問,"2,538 ","1,017,785 ",,50.75%
173,明,"2,534 ","1,020,319 ",,50.88%
174,感,"2,532 ","1,022,851 ",,51.01%
175,再,"2,531 ","1,025,382 ",,51.13%
176,期,"2,516 ","1,027,898 ",,51.26%
177,月,"2,512 ","1,030,410 ",,51.38%
178,位,"2,502 ","1,032,912 ",,51.51%
179,選,"2,490 ","1,035,402 ",,51.63%
180,金,"2,478 ","1,037,880 ",,51.76%
181,名,"2,477 ","1,040,357 ",,51.88%
182,知,"2,446 ","1,042,803 ",,52.00%
183,水,"2,444 ","1,045,247 ",,52.12%
184,總,"2,422 ","1,047,669 ",,52.24%
185,老,"2,401 ","1,050,070 ",,52.36%
186,才,"2,373 ","1,052,443 ",,52.48%
187,文,"2,365 ","1,054,808 ",,52.60%
188,打,"2,363 ","1,057,171 ",,52.72%
189,真,"2,362 ","1,059,533 ",,52.84%
190,品,"2,340 ","1,061,873 ",,52.95%
191,受,"2,340 ","1,064,213 ",,53.07%
192,接,"2,319 ","1,066,532 ",,53.18%
193,跟,"2,312 ","1,068,844 ",,53.30%
194,提,"2,311 ","1,071,155 ",,53.42%
195,黨,"2,306 ","1,073,461 ",,53.53%
196,四,"2,289 ","1,075,750 ",,53.64%
197,變,"2,282 ","1,078,032 ",,53.76%
198,像,"2,277 ","1,080,309 ",,53.87%
199,吃,"2,265 ","1,082,574 ",,53.98%
200,產,"2,258 ","1,084,832 ",,54.10%
201,代,"2,255 ","1,087,087 ",,54.21%
202,並,"2,249 ","1,089,336 ",,54.32%
203,頭,"2,245 ","1,091,581 ",,54.43%
204,把,"2,210 ","1,093,791 ",,54.54%
205,利,"2,205 ","1,095,996 ",,54.65%
206,特,"2,205 ","1,098,201 ",,54.76%
207,少,"2,202 ","1,100,403 ",,54.87%
208,每,"2,201 ","1,102,604 ",,54.98%
209,保,"2,199 ","1,104,803 ",,55.09%
210,師,"2,191 ","1,106,994 ",,55.20%
211,原,"2,190 ","1,109,184 ",,55.31%
212,題,"2,185 ","1,111,369 ",,55.42%
213,資,"2,184 ","1,113,553 ",,55.53%
214,路,"2,161 ","1,115,714 ",,55.64%
215,統,"2,152 ","1,117,866 ",,55.74%
216,任,"2,136 ","1,120,002 ",,55.85%
217,運,"2,129 ","1,122,131 ",,55.96%
218,活,"2,127 ","1,124,258 ",,56.06%
219,式,"2,119 ","1,126,377 ",,56.17%
220,氣,"2,099 ","1,128,476 ",,56.27%
221,量,"2,092 ","1,130,568 ",,56.38%
222,馬,"2,085 ","1,132,653 ",,56.48%
223,先,"2,080 ","1,134,733 ",,56.59%
224,認,"2,058 ","1,136,791 ",,56.69%
225,建,"2,050 ","1,138,841 ",,56.79%
