字頻序位,字,字頻,累積字頻,前100名高頻字累積百分比,"總字數累積
百分比"
1,的,"69,195 ","69,195 ",9.40%,3.77%
2,是,"27,158 ","96,353 ",13.09%,5.25%
3,一,"23,100 ","119,453 ",16.23%,6.51%
4,不,"19,597 ","139,050 ",18.89%,7.57%
5,有,"18,584 ","157,634 ",21.42%,8.59%
6,在,"16,266 ","173,900 ",23.63%,9.47%
7,人,"14,694 ","188,594 ",25.62%,10.27%
8,我,"14,617 ","203,211 ",27.61%,11.07%
9,這,"13,389 ","216,600 ",29.43%,11.80%
10,會,"11,118 ","227,718 ",30.94%,12.40%
11,以,"11,091 ","238,809 ",32.44%,13.01%
12,個,"10,944 ","249,753 ",33.93%,13.60%
13,了,"10,869 ","260,622 ",35.41%,14.20%
14,大,"10,521 ","271,143 ",36.84%,14.77%
15,就,"10,501 ","281,644 ",38.26%,15.34%
16,為,"10,486 ","292,130 ",39.69%,15.91%
17,來,"9,988 ","302,118 ",41.04%,16.46%
18,要,"9,776 ","311,894 ",42.37%,16.99%
19,到,"9,648 ","321,542 ",43.68%,17.51%
20,他,"8,749 ","330,291 ",44.87%,17.99%
21,時,"8,731 ","339,022 ",46.06%,18.47%
22,上,"8,693 ","347,715 ",47.24%,18.94%
23,可,"8,254 ","355,969 ",48.36%,19.39%
24,也,"8,216 ","364,185 ",49.48%,19.84%
25,中,"8,114 ","372,299 ",50.58%,20.28%
26,國,"7,993 ","380,292 ",51.66%,20.71%
27,年,"7,524 ","387,816 ",52.69%,21.12%
28,們,"7,516 ","395,332 ",53.71%,21.53%
29,能,"7,490 ","402,822 ",54.73%,21.94%
30,出,"7,329 ","410,151 ",55.72%,22.34%
31,生,"6,865 ","417,016 ",56.65%,22.71%
32,多,"6,360 ","423,376 ",57.52%,23.06%
33,都,"6,338 ","429,714 ",58.38%,23.41%
34,對,"6,334 ","436,048 ",59.24%,23.75%
35,成,"6,318 ","442,366 ",60.10%,24.10%
36,後,"6,166 ","448,532 ",60.93%,24.43%
37,說,"6,164 ","454,696 ",61.77%,24.77%
38,學,"6,135 ","460,831 ",62.61%,25.10%
39,過,"5,996 ","466,827 ",63.42%,25.43%
40,自,"5,933 ","472,760 ",64.23%,25.75%
41,家,"5,930 ","478,690 ",65.03%,26.07%
42,用,"5,640 ","484,330 ",65.80%,26.38%
43,與,"5,558 ","489,888 ",66.55%,26.68%
44,得,"5,447 ","495,335 ",67.29%,26.98%
45,好,"5,273 ","500,608 ",68.01%,27.27%
46,下,"5,190 ","505,798 ",68.71%,27.55%
47,地,"5,174 ","510,972 ",69.42%,27.83%
48,你,"5,117 ","516,089 ",70.11%,28.11%
49,現,"5,063 ","521,152 ",70.80%,28.39%
50,很,"5,053 ","526,205 ",71.49%,28.66%
51,法,"4,991 ","531,196 ",72.17%,28.93%
52,而,"4,962 ","536,158 ",72.84%,29.20%
53,因,"4,937 ","541,095 ",73.51%,29.47%
54,發,"4,902 ","545,997 ",74.18%,29.74%
55,之,"4,876 ","550,873 ",74.84%,30.01%
56,所,"4,865 ","555,738 ",75.50%,30.27%
57,台,"4,796 ","560,534 ",76.15%,30.53%
58,但,"4,768 ","565,302 ",76.80%,30.79%
59,子,"4,737 ","570,039 ",77.44%,31.05%
60,還,"4,631 ","574,670 ",78.07%,31.30%
61,行,"4,590 ","579,260 ",78.69%,31.55%
62,和,"4,577 ","583,837 ",79.32%,31.80%
63,動,"4,440 ","588,277 ",79.92%,32.04%
64,如,"4,413 ","592,690 ",80.52%,32.28%
65,作,"4,411 ","597,101 ",81.12%,32.52%
66,沒,"4,409 ","601,510 ",81.72%,32.76%
67,最,"4,398 ","605,908 ",82.32%,33.00%
68,看,"4,376 ","610,284 ",82.91%,33.24%
69,當,"4,359 ","614,643 ",83.50%,33.48%
70,分,"4,353 ","618,996 ",84.09%,33.72%
71,於,"4,348 ","623,344 ",84.68%,33.95%
72,那,"4,326 ","627,670 ",85.27%,34.19%
