序號,詞彙,詞頻,累積詞頻,前100名高頻詞累積百分比,"總詞數累積
百分比"
60001,林峻承,1 ,"1,238,489 ",,99.39%
60002,瘋台脾,1 ,"1,238,490 ",,99.39%
60003,外號隊,1 ,"1,238,491 ",,99.39%
60004,三浦,1 ,"1,238,492 ",,99.39%
60005,稿件,1 ,"1,238,493 ",,99.39%
60006,班族,1 ,"1,238,494 ",,99.39%
60007,卜活,1 ,"1,238,495 ",,99.39%
60008,未來性,1 ,"1,238,496 ",,99.39%
60009,身們,1 ,"1,238,497 ",,99.39%
60010,發酵期,1 ,"1,238,498 ",,99.39%
60011,痛徹心曄,1 ,"1,238,499 ",,99.39%
60012,嚴承,1 ,"1,238,500 ",,99.39%
60013,人通瘋,1 ,"1,238,501 ",,99.39%
60014,折磨人,1 ,"1,238,502 ",,99.39%
60015,死裡逃生,1 ,"1,238,503 ",,99.39%
60016,活下來,1 ,"1,238,504 ",,99.39%
60017,病入膏肓,1 ,"1,238,505 ",,99.39%
60018,唐吉軻德,1 ,"1,238,506 ",,99.39%
60019,發想到,1 ,"1,238,507 ",,99.39%
60020,萬里區,1 ,"1,238,508 ",,99.39%
60021,放製,1 ,"1,238,509 ",,99.39%
60022,僵硬度,1 ,"1,238,510 ",,99.39%
60023,寶藍,1 ,"1,238,511 ",,99.39%
60024,蘇菲紗,1 ,"1,238,512 ",,99.39%
60025,白胚布,1 ,"1,238,513 ",,99.39%
60026,馬尾巴,1 ,"1,238,514 ",,99.39%
60027,布面,1 ,"1,238,515 ",,99.39%
60028,雲紗,1 ,"1,238,516 ",,99.39%
60029,蘇菲,1 ,"1,238,517 ",,99.39%
60030,哲思,1 ,"1,238,518 ",,99.39%
60031,滿溢,1 ,"1,238,519 ",,99.39%
60032,袋口,1 ,"1,238,520 ",,99.39%
60033,增派,1 ,"1,238,521 ",,99.39%
60034,台南艦,1 ,"1,238,522 ",,99.39%
60035,福星艦,1 ,"1,238,523 ",,99.39%
60036,康定艦,1 ,"1,238,524 ",,99.39%
60037,整建期,1 ,"1,238,525 ",,99.39%
60038,團紀彥故,1 ,"1,238,526 ",,99.39%
60039,領投,1 ,"1,238,527 ",,99.39%
60040,媒禮,1 ,"1,238,528 ",,99.39%
60041,并,1 ,"1,238,529 ",,99.39%
