序號,詞彙,詞頻,累積詞頻,前100名高頻詞累積百分比,"總詞數累積
百分比"
30001,單站,2 ,"1,025,356 ",,96.22%
30002,黃衫,2 ,"1,025,358 ",,96.22%
30003,衝刺點,2 ,"1,025,360 ",,96.22%
30004,爆胎,2 ,"1,025,362 ",,96.22%
30005,登山點,2 ,"1,025,364 ",,96.22%
30006,職業隊,2 ,"1,025,366 ",,96.22%
30007,薩諾提,2 ,"1,025,368 ",,96.22%
30008,續保,2 ,"1,025,370 ",,96.22%
30009,居次,2 ,"1,025,372 ",,96.22%
30010,拚單站,2 ,"1,025,374 ",,96.22%
30011,登山王,2 ,"1,025,376 ",,96.22%
30012,輻射物,2 ,"1,025,378 ",,96.22%
30013,半衰期,2 ,"1,025,380 ",,96.22%
30014,卅年,2 ,"1,025,382 ",,96.22%
30015,衰竭,2 ,"1,025,384 ",,96.22%
30016,改制度,2 ,"1,025,386 ",,96.22%
30017,國產署,2 ,"1,025,388 ",,96.22%
30018,國有地,2 ,"1,025,390 ",,96.22%
30019,標售案,2 ,"1,025,392 ",,96.22%
30020,大亞,2 ,"1,025,394 ",,96.22%
30021,交響苑,2 ,"1,025,396 ",,96.22%
30022,小窩,2 ,"1,025,398 ",,96.22%
30023,二百多,2 ,"1,025,400 ",,96.22%
30024,迎賓禮,2 ,"1,025,402 ",,96.22%
30025,青刀巷,2 ,"1,025,404 ",,96.22%
30026,獨派,2 ,"1,025,406 ",,96.22%
30027,洪政任,2 ,"1,025,408 ",,96.22%
30028,編導式,2 ,"1,025,410 ",,96.22%
30029,林純用,2 ,"1,025,412 ",,96.22%
30030,魚刺客,2 ,"1,025,414 ",,96.22%
30031,酒客,2 ,"1,025,416 ",,96.22%
30032,取分,2 ,"1,025,418 ",,96.22%
30033,決勝負,2 ,"1,025,420 ",,96.22%
30034,林珮瑜,2 ,"1,025,422 ",,96.22%
30035,洪于鈞,2 ,"1,025,424 ",,96.22%
30036,安蘭居,2 ,"1,025,426 ",,96.23%
30037,軍璞園,2 ,"1,025,428 ",,96.23%
30038,蔣淯安,2 ,"1,025,430 ",,96.23%
30039,決勝節,2 ,"1,025,432 ",,96.23%
30040,合攻,2 ,"1,025,434 ",,96.23%
30041,尚韋帆,2 ,"1,025,436 ",,96.23%
30042,上籃,2 ,"1,025,438 ",,96.23%
30043,拱手讓人,2 ,"1,025,440 ",,96.23%
30044,私帶,2 ,"1,025,442 ",,96.23%
30045,昨率,2 ,"1,025,444 ",,96.23%
30046,陳健財,2 ,"1,025,446 ",,96.23%
30047,西武獅,2 ,"1,025,448 ",,96.23%
30048,強鎖,2 ,"1,025,450 ",,96.23%
30049,軟銀鷹,2 ,"1,025,452 ",,96.23%
30050,伽利,2 ,"1,025,454 ",,96.23%
30051,樂史,2 ,"1,025,456 ",,96.23%
30052,樂天團,2 ,"1,025,458 ",,96.23%
30053,樂評,2 ,"1,025,460 ",,96.23%
30054,樂評家,2 ,"1,025,462 ",,96.23%
30055,四連霸,2 ,"1,025,464 ",,96.23%
30056,八十年,2 ,"1,025,466 ",,96.23%
30057,薪傳獎,2 ,"1,025,468 ",,96.23%
30058,煥章館,2 ,"1,025,470 ",,96.23%
30059,蓮藕粉,2 ,"1,025,472 ",,96.23%
30060,民股,2 ,"1,025,474 ",,96.23%
30061,剷平路障,2 ,"1,025,476 ",,96.23%
30062,偕手,2 ,"1,025,478 ",,96.23%
30063,鄧雨賢嫡孫,2 ,"1,025,480 ",,96.23%
30064,鄧泰超,2 ,"1,025,482 ",,96.23%
