序號,詞彙,詞頻,累積詞頻,前100名高頻詞累積百分比,"總詞數累積
百分比"
1,的,"60,479 ","60,479 ",16.10%,5.68%
2,是,"19,440 ","79,919 ",21.28%,7.50%
3,一,"12,511 ","92,430 ",24.61%,8.67%
4,在,"12,062 ","104,492 ",27.82%,9.81%
5,有,"10,056 ","114,548 ",30.50%,10.75%
6,個,"9,117 ","123,665 ",32.93%,11.60%
7,了,"8,866 ","132,531 ",35.29%,12.44%
8,我,"8,716 ","141,247 ",37.61%,13.25%
9,就,"8,587 ","149,834 ",39.89%,14.06%
10,不,"8,403 ","158,237 ",42.13%,14.85%
11,這,"7,578 ","165,815 ",44.15%,15.56%
12,也,"7,278 ","173,093 ",46.09%,16.24%
13,他,"6,264 ","179,357 ",47.75%,16.83%
14,都,"5,457 ","184,814 ",49.21%,17.34%
15,會,"5,260 ","190,074 ",50.61%,17.84%
16,人,"5,136 ","195,210 ",51.98%,18.32%
17,與,"4,645 ","199,855 ",53.21%,18.75%
18,你,"4,493 ","204,348 ",54.41%,19.18%
19,要,"4,276 ","208,624 ",55.55%,19.58%
20,上,"4,083 ","212,707 ",56.63%,19.96%
21,和,"3,991 ","216,698 ",57.70%,20.33%
22,說,"3,524 ","220,222 ",58.63%,20.67%
23,我們,"3,392 ","223,614 ",59.54%,20.98%
24,還,"3,328 ","226,942 ",60.42%,21.30%
25,很,"3,263 ","230,205 ",61.29%,21.60%
26,對,"3,243 ","233,448 ",62.16%,21.91%
27,來,"3,204 ","236,652 ",63.01%,22.21%
28,但,"3,175 ","239,827 ",63.85%,22.51%
29,讓,"3,140 ","242,967 ",64.69%,22.80%
30,中,"3,102 ","246,069 ",65.52%,23.09%
31,年,"3,083 ","249,152 ",66.34%,23.38%
32,那,"2,901 ","252,053 ",67.11%,23.65%
33,為,"2,893 ","254,946 ",67.88%,23.92%
34,可以,"2,815 ","257,761 ",68.63%,24.19%
35,能,"2,771 ","260,532 ",69.37%,24.45%
36,最,"2,742 ","263,274 ",70.10%,24.71%
37,自己,"2,714 ","265,988 ",70.82%,24.96%
38,到,"2,704 ","268,692 ",71.54%,25.21%
39,以,"2,589 ","271,281 ",72.23%,25.46%
40,著,"2,563 ","273,844 ",72.91%,25.70%
