序號,詞彙,詞頻,累積詞頻,前100名高頻詞累積百分比,"總詞數累積
百分比"
60001,贅述,1 ,"1,061,333 ",,99.59%
60002,自然系,1 ,"1,061,334 ",,99.59%
60003,毛氈,1 ,"1,061,335 ",,99.59%
60004,迸發出,1 ,"1,061,336 ",,99.59%
60005,迴,1 ,"1,061,337 ",,99.59%
60006,阿哥哥,1 ,"1,061,338 ",,99.59%
60007,圓點,1 ,"1,061,339 ",,99.60%
60008,鮮亮,1 ,"1,061,340 ",,99.60%
60009,頹敗,1 ,"1,061,341 ",,99.60%
60010,多維度,1 ,"1,061,342 ",,99.60%
60011,渡邊淳彌,1 ,"1,061,343 ",,99.60%
60012,蜂巢,1 ,"1,061,344 ",,99.60%
60013,手札,1 ,"1,061,345 ",,99.60%
60014,立領,1 ,"1,061,346 ",,99.60%
60015,潮味,1 ,"1,061,347 ",,99.60%
60016,凌厲,1 ,"1,061,348 ",,99.60%
60017,慣用語,1 ,"1,061,349 ",,99.60%
60018,隱隱然,1 ,"1,061,350 ",,99.60%
60019,匯流,1 ,"1,061,351 ",,99.60%
60020,堅忍不拔,1 ,"1,061,352 ",,99.60%
60021,臥薪嚐膽,1 ,"1,061,353 ",,99.60%
60022,順命,1 ,"1,061,354 ",,99.60%
60023,順意,1 ,"1,061,355 ",,99.60%
60024,任容萱,1 ,"1,061,356 ",,99.60%
60025,壓根,1 ,"1,061,357 ",,99.60%
60026,憋氣,1 ,"1,061,358 ",,99.60%
60027,小卯釘,1 ,"1,061,359 ",,99.60%
60028,喀什,1 ,"1,061,360 ",,99.60%
60029,米爾,1 ,"1,061,361 ",,99.60%
60030,遮瑕膏,1 ,"1,061,362 ",,99.60%
60031,出其不意,1 ,"1,061,363 ",,99.60%
60032,花飾胸針,1 ,"1,061,364 ",,99.60%
60033,暈染眼影,1 ,"1,061,365 ",,99.60%
60034,加粗,1 ,"1,061,366 ",,99.60%
60035,迷魅,1 ,"1,061,367 ",,99.60%
60036,摩登感,1 ,"1,061,368 ",,99.60%
60037,部部,1 ,"1,061,369 ",,99.60%
60038,貌美,1 ,"1,061,370 ",,99.60%
60039,檻,1 ,"1,061,371 ",,99.60%
60040,製法,1 ,"1,061,372 ",,99.60%
